Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Topic discovery and future trend forecasting for texts","Journal of Big Data","","3","1","10.1186/s40537-016-0039-2","Jose L. HurtadoAnkur AgarwalXingquan Zhu","2016","http://link.springer.com/article/10.1186/s40537-016-0039-2","Article"
"Two combined forecasting models based on singular spectrum analysis and intelligent optimized algorithm for short-term wind speed","Neural Computing and Applications","","30","1","10.1007/s00521-016-2679-8","Ping JiangRanran LiKequan Zhang","2018","http://link.springer.com/article/10.1007/s00521-016-2679-8","Article"
"Analysis and forecasting of rainfall trends in semi-arid Bundelkhand region of Madhya Pradesh, India: using statistical methods","Environmental Earth Sciences","","81","3","10.1007/s12665-021-10159-x","Kalyan Sundar SomMousumi Dey","2022","http://link.springer.com/article/10.1007/s12665-021-10159-x","Article"
"Neural Networks and Forecasting COVID-19","Optical Memory and Neural Networks","","30","3","10.3103/S1060992X21030085","E. DadyanP. Avetisyan","2021","http://link.springer.com/article/10.3103/S1060992X21030085","Article"
"Data-based prediction and causality inference of nonlinear dynamics","Science China Mathematics","","61","3","10.1007/s11425-017-9177-0","Huanfei MaSiyang LengLuonan Chen","2018","http://link.springer.com/article/10.1007/s11425-017-9177-0","Article"
"Identification and analysis of long-term changes in river deltas and riparian zones using time-series multispectral data","Euro-Mediterranean Journal for Environmental Integration","","7","4","10.1007/s41207-022-00332-4","Christos KontopoulosDimitra KitsiouStavros ChlorokostasBetty CharalampopoulouNikos GrammalidisAnastasios Tzepkenlis","2022","http://link.springer.com/article/10.1007/s41207-022-00332-4","Article"
"Demand forecasting application with regression and artificial intelligence methods in a construction machinery company","Journal of Intelligent Manufacturing","","32","6","10.1007/s10845-021-01737-8","Adnan AktepeEmre YanıkSüleyman Ersöz","2021","http://link.springer.com/article/10.1007/s10845-021-01737-8","Article"
"A hybrid sigma-pi neural network for combined intuitionistic fuzzy time series prediction model","Neural Computing and Applications","","34","15","10.1007/s00521-022-07138-z","Sule Nazlı ArslanOzge Cagcag Yolcu","2022","http://link.springer.com/article/10.1007/s00521-022-07138-z","Article"
"Monthly evaporation forecasting using artificial neural networks and support vector machines","Theoretical and Applied Climatology","","124","1 - 2","10.1007/s00704-015-1392-3","Gulay TezelMeral Buyukyildiz","2016","http://link.springer.com/article/10.1007/s00704-015-1392-3","Article"
"Modified Pi Sigma artificial neural networks for forecasting","Granular Computing","","8","1","10.1007/s41066-022-00320-7","Erol EgriogluEren Bas","2023","http://link.springer.com/article/10.1007/s41066-022-00320-7","Article"
"A hybrid short-term load forecasting method based on improved ensemble empirical mode decomposition and back propagation neural network","Journal of Zhejiang University-SCIENCE A","","17","2","10.1631/jzus.A1500156","Yun-luo YuWei LiDe-ren ShengJian-hong Chen","2016","http://link.springer.com/article/10.1631/jzus.A1500156","Article"
"Nexus among rice production and environmental factors in the coastal region of Bangladesh: a stochastic modeling approach for future forecasting","Modeling Earth Systems and Environment","","7","2","10.1007/s40808-020-00969-6","Md. JakariyaSazzadur Rahman SarkerSheikh Mohammad SayemSaman SaadMd. Nazrul IslamAbir RahmanMd. Sajadul AlamMirza Shawkat AliDilruba Akter","2021","http://link.springer.com/article/10.1007/s40808-020-00969-6","Article"
"Forecasting Daily Electric Load by Applying Artificial Neural Network with Fourier Transformation and Principal Component Analysis Technique","Journal of the Operations Research Society of China","","8","4","10.1007/s40305-019-00282-9","Yuji MatsuoTatsuo Oyama","2020","http://link.springer.com/article/10.1007/s40305-019-00282-9","Article"
"A type-II fuzzy collaborative forecasting approach for productivity forecasting under an uncertainty environment","Journal of Ambient Intelligence and Humanized Computing","","12","2","10.1007/s12652-020-02435-8","Toly ChenYu-Cheng WangMin-Chi Chiu","2021","http://link.springer.com/article/10.1007/s12652-020-02435-8","Article"
"A scalable framework for large time series prediction","Knowledge and Information Systems","","63","5","10.1007/s10115-021-01544-w","Youssef HmamoucheLotfi LakhalAlain Casali","2021","http://link.springer.com/article/10.1007/s10115-021-01544-w","Article"
"Maintaining container sustainability through machine learning","Cluster Computing","","24","4","10.1007/s10586-021-03359-4","Mahendra Pratap YadavRohitDharmendra Kumar Yadav","2021","http://link.springer.com/article/10.1007/s10586-021-03359-4","Article"
"An Efficient GAN-Based Multi-classification Approach for Financial Time Series Volatility Trend Prediction","International Journal of Computational Intelligence Systems","","16","1","10.1007/s44196-023-00212-x","Lei LiuZheng PeiPeng ChenHang LuoZhisheng GaoKang FengZhihao Gan","2023","http://link.springer.com/article/10.1007/s44196-023-00212-x","Article"
"Time series prediction based on data compression methods","Problems of Information Transmission","","52","1","10.1134/S0032946016010075","A. S. LysyakB. Ya. Ryabko","2016","http://link.springer.com/article/10.1134/S0032946016010075","Article"
"Complex Systems Methods Characterizing Nonlinear Processes in the Near-Earth Electromagnetic Environment: Recent Advances and Open Challenges","Space Science Reviews","","219","5","10.1007/s11214-023-00979-7","Georgios BalasisMichael A. BalikhinSandra C. ChapmanGiuseppe ConsoliniIoannis A. DaglisReik V. DonnerJürgen KurthsMilan PalušJakob RungeBruce T. TsurutaniDimitris VassiliadisSimon WingJesper W. GjerloevJay JohnsonMassimo MaterassiTommaso Alberti","2023","http://link.springer.com/article/10.1007/s11214-023-00979-7","Article"
